Time X Y Z ID Radius
5.5 -1.38564e-07 2.7319e-06 -7.1752e-08 2 1.1e-06
5.55 3.92422e-07 4.78292e-06 -6.52662e-08 0 1e-06
5.55 -1.16622e-06 4.21633e-06 -9.18825e-07 1 1e-07
5.55 -1.20596e-07 2.77086e-06 -6.33969e-08 2 1.1e-06
5.6 3.55186e-07 4.92733e-06 -1.02947e-07 0 1e-06
5.6 -1.18829e-06 4.26365e-06 -9.58268e-07 1 1e-07
5.6 -1.00288e-07 2.809e-06 -5.19373e-08 2 1.1e-06
5.65 3.70818e-07 4.97957e-06 -6.90811e-08 0 1e-06
5.65 -1.22963e-06 4.28848e-06 -1.01891e-06 1 1e-07
5.65 -7.59019e-08 2.85159e-06 -3.62281e-08 2 1.1e-06
5.7 3.31045e-07 4.96754e-06 -7.83988e-08 0 1e-06
5.7 -1.26057e-06 4.30229e-06 -1.06917e-06 1 1e-07
5.7 -5.98356e-08 2.89743e-06 -2.54257e-08 2 1.1e-06
5.75 3.04407e-07 4.97672e-06 -1.49596e-07 0 1e-06
5.75 -1.27368e-06 4.29696e-06 -1.11032e-06 1 1e-07
5.75 -5.68114e-08 2.93482e-06 -2.41975e-08 2 1.1e-06
5.8 3.43896e-07 5.06911e-06 -1.40362e-07 0 1e-06
5.8 -1.26393e-06 4.26854e-06 -1.14405e-06 1 1e-07
5.8 -4.78059e-08 2.9676e-06 -3.01453e-08 2 1.1e-06
5.85 3.33153e-07 5.07502e-06 -1.42858e-07 0 1e-06
5.85 -1.2219e-06 4.20947e-06 -1.16466e-06 1 1e-07
5.85 -4.48564e-08 3.00368e-06 -4.42716e-08 2 1.1e-06
5.9 3.2447e-07 5.00792e-06 -1.51915e-07 0 1e-06
5.9 -1.19186e-06 4.1493e-06 -1.17252e-06 1 1e-07
5.9 -4.40134e-08 3.01767e-06 -6.57448e-08 2 1.1e-06
5.95 3.06095e-07 5.10776e-06 -1.60332e-07 0 1e-06
5.95 -1.16754e-06 4.1052e-06 -1.18281e-06 1 1e-07
5.95 -5.44196e-08 3.03478e-06 -9.31056e-08 2 1.1e-06
6 2.9953e-07 5.10733e-06 -1.14759e-07 0 1e-06
6 -1.15373e-06 4.06446e-06 -1.19687e-06 1 1e-07
6 -6.20856e-08 3.05898e-06 -1.09556e-07 2 1.1e-06
6.05 2.79736e-07 5.2241e-06 -8.64672e-08 0 1e-06
6.05 -1.15159e-06 4.07207e-06 -1.22173e-06 1 1e-07
6.05 -6.30969e-08 3.06628e-06 -1.17322e-07 2 1.1e-06
6.1 2.50006e-07 5.22459e-06 -7.36995e-08 0 1e-06
6.1 -1.15539e-06 4.12173e-06 -1.23837e-06 1 1e-07
6.1 -5.94168e-08 3.07343e-06 -1.10132e-07 2 1.1e-06
6.15 2.37053e-07 5.18089e-06 -6.3038e-08 0 1e-06
6.15 -1.14974e-06 4.20767e-06 -1.27084e-06 1 1e-07
6.15 -5.80274e-08 3.08038e-06 -1.03236e-07 2 1.1e-06
6.2 2.5826e-07 5.11828e-06 -1.02061e-07 0 1e-06
6.2 -1.1402e-06 4.32058e-06 -1.29353e-06 1 1e-07
6.2 -7.30529e-08 3.07237e-06 -1.04477e-07 2 1.1e-06
