Time X Y Z ID Radius Species
2.2 -5.56027e-08 -1.12302e-05 -3.22187e-06 5 1e-06 0
2.2 -7.9888e-07 5.87078e-06 -4.85648e-06 6 1e-06 0
2.2 -6.60286e-07 4.0118e-06 -4.68212e-06 7 1e-06 0
2.25 -7.84063e-07 -7.60585e-06 -3.19201e-06 0 1e-06 0
2.25 -1.51843e-06 -9.24416e-06 -2.25123e-06 1 1e-06 0
2.25 -2.75078e-06 -1.07999e-05 -2.20029e-06 2 1e-06 0
2.25 -3.28719e-06 -1.14346e-05 -4.08789e-06 3 1e-06 0
2.25 -1.24439e-06 -1.08136e-05 -4.74576e-06 4 1e-06 0
2.25 -6.03411e-08 -1.12315e-05 -3.23343e-06 5 1e-06 0
2.25 -7.9463e-07 5.88576e-06 -4.85988e-06 6 1e-06 0
2.25 -6.53141e-07 4.0132e-06 -4.67736e-06 7 1e-06 0
2.3 -7.92303e-07 -7.62187e-06 -3.17889e-06 0 1e-06 0
2.3 -1.49033e-06 -9.22559e-06 -2.26798e-06 1 1e-06 0
2.3 -2.77073e-06 -1.07967e-05 -2.17929e-06 2 1e-06 0
2.3 -3.27836e-06 -1.14268e-05 -4.08616e-06 3 1e-06 0
2.3 -1.25767e-06 -1.07962e-05 -4.75669e-06 4 1e-06 0
2.3 -5.52225e-08 -1.12349e-05 -3.22903e-06 5 1e-06 0
2.3 -7.9496e-07 5.91426e-06 -4.8651e-06 6 1e-06 0
2.3 -6.39597e-07 3.9975e-06 -4.67158e-06 7 1e-06 0
2.35 -7.98979e-07 -7.62849e-06 -3.17189e-06 0 1e-06 0
2.35 -1.47108e-06 -9.22174e-06 -2.27468e-06 1 1e-06 0
2.35 -2.79195e-06 -1.07923e-05 -2.15932e-06 2 1e-06 0
2.35 -3.2654e-06 -1.14134e-05 -4.08383e-06 3 1e-06 0
2.35 -1.28498e-06 -1.07817e-05 -4.77263e-06 4 1e-06 0
2.35 -5.19847e-08 -1.12381e-05 -3.22357e-06 5 1e-06 0
2.35 -7.97544e-07 5.95324e-06 -4.87008e-06 6 1e-06 0
2.35 -6.2632e-07 3.97036e-06 -4.66698e-06 7 1e-06 0
2.4 -8.01544e-07 -7.62525e-06 -3.17794e-06 0 1e-06 0
2.4 -1.45184e-06 -9.22749e-06 -2.26972e-06 1 1e-06 0
2.4 -2.8079e-06 -1.0786e-05 -2.13722e-06 2 1e-06 0
2.4 -3.24538e-06 -1.13969e-05 -4.08417e-06 3 1e-06 0
2.4 -1.31185e-06 -1.07674e-05 -4.78285e-06 4 1e-06 0
